station_id,timestamp,longitude,latitude,temp_f,dewpoint_f,humidity_percent,wind_direction_deg,wind_speed_kt,precip_1hr_in,altimeter_inhg,visibility_miles,wind_gust_kt,sky_cover_1,sky_cover_2,sky_cover_3,sky_altitude_1_ft,sky_altitude_2_ft,sky_altitude_3_ft,weather_codes,feels_like_f
HAF,2023-08-01 00:15:00+00:00,-122.4996,37.5136,59.0,55.4,87.83,,6.0,0.0,30.02,4.0,12.0,BKN,<NA>,<NA>,900.0,,,HZ,59.0
HAF,2023-08-01 00:35:00+00:00,-122.4996,37.5136,59.0,55.4,87.83,310.0,6.0,0.0,30.01,5.0,,BKN,<NA>,<NA>,900.0,,,HZ,59.0
HAF,2023-08-01 00:55:00+00:00,-122.4996,37.5136,59.0,55.4,87.83,320.0,9.0,0.0,30.01,5.0,,BKN,<NA>,<NA>,900.0,,,HZ,59.0
HAF,2023-08-01 01:15:00+00:00,-122.4996,37.5136,59.0,55.4,87.83,320.0,8.0,0.0,30.0,5.0,,BKN,<NA>,<NA>,900.0,,,BR,59.0
HAF,2023-08-01 01:35:00+00:00,-122.4996,37.5136,59.0,55.4,87.83,,5.0,0.0,30.0,4.0,10.0,BKN,BKN,<NA>,900.0,1300.0,,BR,59.0
HAF,2023-08-01 01:55:00+00:00,-122.4996,37.5136,59.0,55.4,87.83,280.0,4.0,0.0,30.0,4.0,,OVC,<NA>,<NA>,900.0,,,BR,59.0
HAF,2023-08-01 02:15:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,230.0,4.0,0.0,30.01,4.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 02:35:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,240.0,4.0,0.0,30.01,4.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 02:55:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,0.0,0.0,0.0,30.01,4.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 03:15:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,0.0,0.0,0.0,30.01,4.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 03:35:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,0.0,0.0,0.0,30.02,4.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 03:55:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,0.0,0.0,0.0,30.02,5.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 04:15:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,0.0,0.0,0.0,30.02,6.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
HAF,2023-08-01 04:35:00+00:00,-122.4996,37.5136,57.2,55.4,93.69,0.0,0.0,0.0,30.02,5.0,,OVC,<NA>,<NA>,900.0,,,BR,57.2
